Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,year,decadef,type,tool,rgb_colors,hex_colors
50,50,50,50,50,Contre-Jour in the French Style-Against the day Dans Le Style-Francais,1974 - oil on canvas 72x72 in.,https://www.hockney.com/img/gallery/paintings/70s/74D37.jpg,1974,1970s,paintings,,"[[149, 135, 120], [101, 111, 88], [189, 183, 178], [214, 181, 103], [94, 49, 25]]","['#958778', '#656f58', '#bdb7b2', '#d6b567', '#5e3119']"
51,51,51,51,51,Yves Marie in the Rain,1973 - oil on canvas 48x60 in.,https://www.hockney.com/img/gallery/paintings/70s/73B06.jpg,1973,1970s,paintings,,"[[177, 185, 182], [215, 210, 204], [132, 157, 172], [73, 122, 130], [123, 65, 58]]","['#b1b9b6', '#d7d2cc', '#849dac', '#497a82', '#7b413a']"
52,52,52,52,52,Mt. Fuji and Flowers,1972 - acrylic on canvas 60x48 in.,https://www.hockney.com/img/gallery/paintings/70s/72A25.jpg,1972,1970s,paintings,,"[[21, 112, 173], [72, 141, 189], [142, 177, 198], [163, 125, 144], [106, 89, 101]]","['#1570ad', '#488dbd', '#8eb1c6', '#a37d90', '#6a5965']"
53,53,53,53,53,Portrait of an Artist (Pool with two figures),1972 - acrylic on canvas 84x120 in.,https://www.hockney.com/img/gallery/paintings/70s/72A33.jpg,1972,1970s,paintings,,"[[150, 207, 215], [32, 75, 34], [82, 169, 194], [204, 202, 178], [115, 102, 69]]","['#96cfd7', '#204b22', '#52a9c2', '#cccab2', '#736645']"
54,54,54,54,54,"Two deck chairs, Calvi",1972 - acrylic on canvas 60x48 in.,https://www.hockney.com/img/gallery/paintings/70s/72A27.jpg,1972,1970s,paintings,,"[[176, 168, 120], [78, 135, 197], [117, 114, 106], [34, 34, 31], [183, 34, 9]]","['#b0a878', '#4e87c5', '#75726a', '#22221f', '#b72209']"
55,55,55,55,55,Still Life On a Glass Table,1971 - acrylic on canvas 72x108 in.,https://www.hockney.com/img/gallery/paintings/70s/71A21.jpg,1971,1970s,paintings,,"[[236, 193, 169], [152, 171, 170], [217, 177, 153], [190, 201, 204], [68, 100, 93]]","['#ecc1a9', '#98abaa', '#d9b199', '#bec9cc', '#44645d']"
56,56,56,56,56,Beach Umbrella,1971 - acrylic on canvas 48x35 3/4 in.,https://www.hockney.com/img/gallery/paintings/70s/71A17.jpg,1971,1970s,paintings,,"[[226, 211, 160], [0, 146, 213], [164, 164, 134], [22, 123, 123], [224, 184, 54]]","['#e2d3a0', '#0092d5', '#a4a486', '#167b7b', '#e0b836']"
57,57,57,57,57,Rubber Ring Floating In a Swimming Pool,1971 - acrylic on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/70s/71A19.jpg,1971,1970s,paintings,,"[[18, 125, 138], [221, 189, 149], [201, 158, 110], [54, 147, 157], [176, 86, 59]]","['#127d8a', '#ddbd95', '#c99e6e', '#36939d', '#b0563b']"
58,58,58,58,58,Mr. and Mrs. Clark and Percy,1970 - 71 - acrylic on canvas 84x120 in.,https://www.hockney.com/img/gallery/paintings/70s/70A34.jpg,1970,1970s,paintings,,"[[120, 102, 91], [144, 144, 136], [197, 197, 192], [21, 34, 41], [70, 68, 64]]","['#78665b', '#909088', '#c5c5c0', '#152229', '#464440']"
59,59,59,59,59,Under and Out of the Arch,1989 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/89N35.jpg,1989,1980s,paintings,,"[[27, 42, 33], [109, 22, 9], [176, 140, 54], [39, 139, 175], [156, 157, 175]]","['#1b2a21', '#6d1609', '#b08c36', '#278baf', '#9c9daf']"
60,60,60,60,60,"Breakfast At Malibu, Sunday",1989 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/89B12.jpg,1989,1980s,paintings,,"[[1, 89, 153], [2, 49, 91], [217, 36, 3], [159, 172, 198], [127, 113, 106]]","['#015999', '#02315b', '#d92403', '#9facc6', '#7f716a']"
61,61,61,61,61,Malibu House,1988 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/88D01.jpg,1988,1980s,paintings,,"[[57, 117, 181], [216, 218, 208], [20, 94, 67], [124, 143, 119], [223, 167, 85]]","['#3975b5', '#d8dad0', '#145e43', '#7c8f77', '#dfa755']"
62,62,62,62,62,"Potted Jade, 1988 oil on canvas,",1988 - oil on canvas 30 1/2 x 61 in.,https://www.hockney.com/img/gallery/paintings/80s/88A36.jpg,1988,1980s,paintings,,"[[88, 149, 200], [68, 17, 7], [30, 69, 69], [184, 161, 176], [118, 103, 115]]","['#5895c8', '#441107', '#1e4545', '#b8a1b0', '#766773']"
63,63,63,63,63,The Sea At Malibu,1988 - oil on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/80s/88B15.jpg,1988,1980s,paintings,,"[[10, 132, 163], [139, 193, 224], [48, 48, 49], [173, 79, 54], [210, 188, 121]]","['#0a84a3', '#8bc1e0', '#303031', '#ad4f36', '#d2bc79']"
64,64,64,64,64,Red And Black Fruit,1988 - oil on canvas 12x24 in.,https://www.hockney.com/img/gallery/paintings/80s/88B30.jpg,1988,1980s,paintings,,"[[238, 131, 145], [243, 232, 235], [61, 81, 116], [51, 16, 18], [146, 163, 193]]","['#ee8391', '#f3e8eb', '#3d5174', '#331012', '#92a3c1']"
65,65,65,65,65,Henry,1988 - oil on canvas 24x24 in.,https://www.hockney.com/img/gallery/paintings/80s/88B16.jpg,1988,1980s,paintings,,"[[241, 235, 221], [234, 187, 31], [211, 197, 184], [174, 126, 67], [40, 82, 76]]","['#f1ebdd', '#eabb1f', '#d3c5b8', '#ae7e43', '#28524c']"
66,66,66,66,66,Kasmin,1988 - oil 24x24 in.,https://www.hockney.com/img/gallery/paintings/80s/88B25.jpg,1988,1980s,paintings,,"[[241, 236, 228], [8, 101, 167], [219, 104, 77], [145, 177, 196], [74, 48, 56]]","['#f1ece4', '#0865a7', '#db684d', '#91b1c4', '#4a3038']"
67,67,67,67,67,Livingroom at Malibu With View,1988 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/88D02.jpg,1988,1980s,paintings,,"[[200, 69, 7], [227, 212, 199], [58, 19, 11], [109, 99, 75], [5, 102, 194]]","['#c84507', '#e3d4c7', '#3a130b', '#6d634b', '#0566c2']"
68,68,68,68,68,Used Chair,1988 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/88B13.jpg,1988,1980s,paintings,,"[[154, 75, 23], [229, 221, 183], [25, 99, 150], [167, 175, 162], [24, 27, 43]]","['#9a4b17', '#e5ddb7', '#196396', '#a7afa2', '#181b2b']"
69,69,69,69,69,Green and Blue Plant,1987 - acrylic on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/87J04.jpg,1987,1980s,paintings,,"[[140, 161, 138], [230, 227, 228], [134, 36, 18], [16, 60, 106], [7, 10, 8]]","['#8ca18a', '#e6e3e4', '#862412', '#103c6a', '#070a08']"
70,70,70,70,70,"A Walk Around the Hotel Courtyard, Acatlan",1985 - oil on 2 canvases 72x240 in.,https://www.hockney.com/img/gallery/paintings/80s/85A05.jpg,1985,1980s,paintings,,"[[192, 23, 23], [139, 154, 34], [196, 190, 173], [102, 48, 45], [35, 79, 135]]","['#c01717', '#8b9a22', '#c4bead', '#66302d', '#234f87']"
71,71,71,71,71,The Chair,1985 - oil on canvas 48x36 in.,https://www.hockney.com/img/gallery/paintings/80s/85A04.jpg,1985,1980s,paintings,,"[[205, 85, 18], [224, 130, 31], [67, 107, 157], [142, 44, 14], [76, 22, 11]]","['#cd5512', '#e0821f', '#436b9d', '#8e2c0e', '#4c160b']"
72,72,72,72,72,Celia With Her Foot on a Chair,1984 - oil on canvas 30 1/4 x 22 5/8 in.,https://www.hockney.com/img/gallery/paintings/80s/84G30.jpg,1984,1980s,paintings,,"[[232, 233, 234], [227, 204, 176], [130, 165, 196], [93, 104, 117], [204, 117, 123]]","['#e8e9ea', '#e3ccb0', '#82a5c4', '#5d6875', '#cc757b']"
73,73,73,73,73,"Study of Dining Table, Chris & Don’s House",1984 - oil on canvas 57x43 in.,https://www.hockney.com/img/gallery/paintings/80s/84H05.jpg,1984,1980s,paintings,,"[[215, 142, 117], [234, 197, 159], [101, 170, 171], [163, 67, 12], [23, 56, 73]]","['#d78e75', '#eac59f', '#65aaab', '#a3430c', '#173849']"
74,74,74,74,74,Christopher With His Glasses On,1984 - oil 30 1/2 x 22 7/8 in.,https://www.hockney.com/img/gallery/paintings/80s/84H06.jpg,1984,1980s,paintings,,"[[166, 180, 216], [8, 67, 162], [79, 120, 193], [246, 184, 190], [212, 116, 115]]","['#a6b4d8', '#0843a2', '#4f78c1', '#f6b8be', '#d47473']"
75,75,75,75,75,"David, Celia, Stephan and Ian, London",1982 - oil on 8 canvases 72x80 in.,https://www.hockney.com/img/gallery/paintings/80s/82B26.jpg,1982,1980s,paintings,,"[[234, 230, 230], [42, 101, 194], [164, 65, 16], [30, 26, 28], [214, 164, 109]]","['#eae6e6', '#2a65c2', '#a44110', '#1e1a1c', '#d6a46d']"
76,76,76,76,76,Hollywood Hills House,"1981-82 - oil, charcoal & collage on canvas 60x120 in.",https://www.hockney.com/img/gallery/paintings/80s/82A21.jpg,1981,1980s,paintings,,"[[46, 131, 103], [196, 85, 38], [98, 35, 31], [173, 175, 167], [240, 199, 47]]","['#2e8367', '#c45526', '#62231f', '#adafa7', '#f0c72f']"
77,77,77,77,77,Mulholland Drive: The Road to the Studio,1980 - acrylic on canvas 86x243 in.,https://www.hockney.com/img/gallery/paintings/80s/80A34.jpg,1980,1980s,paintings,,"[[172, 161, 172], [224, 101, 29], [24, 148, 146], [7, 67, 146], [70, 91, 76]]","['#aca1ac', '#e0651d', '#189492', '#074392', '#465b4c']"
78,78,78,78,78,Nichols Canyon,1980 - acrylic on canvas 84x60 in.,https://www.hockney.com/img/gallery/paintings/80s/80A37.jpg,1980,1980s,paintings,,"[[8, 132, 171], [52, 64, 34], [201, 98, 51], [122, 120, 135], [168, 183, 195]]","['#0884ab', '#344022', '#c96233', '#7a7887', '#a8b7c3']"
79,79,79,79,79,"Ken  Wathey  January 3 1997, 1997  oil on canvas,",1997 - oil on canvas 24x15 in.,https://www.hockney.com/img/gallery/paintings/80s/97A07.jpg,1997,1990s,paintings,,"[[8, 72, 48], [7, 4, 22], [104, 5, 3], [194, 76, 44], [192, 154, 127]]","['#084830', '#070416', '#680503', '#c24c2c', '#c09a7f']"
80,80,80,80,80,Jonathan Silver  February 27 1996,13 3/4 x 10 3/4 in.  - oil on canvas 1996,https://www.hockney.com/img/gallery/paintings/80s/97A29.jpg,1996,1990s,paintings,,"[[14, 9, 10], [157, 58, 57], [88, 35, 39], [215, 102, 67], [7, 113, 95]]","['#0e090a', '#9d3a39', '#582327', '#d76643', '#07715f']"
81,81,81,81,81,Gregory Evans  January 20,1997 - oil on canvas 13 3/4 x 10 3/4 in.,https://www.hockney.com/img/gallery/paintings/80s/97A10.jpg,1997,1990s,paintings,,"[[12, 14, 2], [113, 40, 3], [195, 76, 8], [239, 137, 42], [50, 136, 91]]","['#0c0e02', '#712803', '#c34c08', '#ef892a', '#32885b']"
82,82,82,82,82,Halaconia In Green Vase,1996 - oil on canvas 72x72 in.,https://www.hockney.com/img/gallery/paintings/80s/96B41.jpg,1996,1990s,paintings,,"[[10, 134, 220], [49, 164, 241], [184, 34, 25], [18, 5, 19], [25, 69, 128]]","['#0a86dc', '#31a4f1', '#b82219', '#120513', '#194580']"
83,83,83,83,83,Three Sunflowers And A Bottle of Water,1996 - oil on canvas 25 3/4 x 32 in.,https://www.hockney.com/img/gallery/paintings/80s/96B28.jpg,1996,1990s,paintings,,"[[169, 3, 3], [13, 109, 133], [22, 29, 8], [238, 152, 3], [85, 109, 6]]","['#a90303', '#0d6d85', '#161d08', '#ee9803', '#556d06']"
84,84,84,84,84,"Red, Purple & Green Vegetables",1996 - oil on canvas 25 3/4 x 32 in.,https://www.hockney.com/img/gallery/paintings/80s/96B09.jpg,1996,1990s,paintings,,"[[9, 46, 49], [9, 74, 163], [90, 144, 218], [129, 151, 56], [121, 10, 11]]","['#092e31', '#094aa3', '#5a90da', '#819738', '#790a0b']"
85,85,85,85,85,A Bigger Bridlington Studio Interior,1996 - oil on canvas 32x48 in.,https://www.hockney.com/img/gallery/paintings/80s/96B12.jpg,1996,1990s,paintings,,"[[139, 17, 3], [45, 66, 62], [119, 169, 210], [49, 9, 8], [219, 102, 12]]","['#8b1103', '#2d423e', '#77a9d2', '#310908', '#db660c']"
86,86,86,86,86,Antheriums,1995 - oil on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/80s/95F14.jpg,1995,1990s,paintings,,"[[6, 50, 138], [208, 169, 128], [39, 107, 101], [45, 57, 60], [176, 59, 72]]","['#06328a', '#d0a980', '#276b65', '#2d393c', '#b03b48']"
87,87,87,87,87,Dog Painting 17,1995 - oil on canvas 13x21 3/4 in.,https://www.hockney.com/img/gallery/paintings/80s/95C14.jpg,1995,1990s,paintings,,"[[240, 214, 134], [83, 140, 231], [87, 5, 4], [59, 156, 125], [164, 72, 5]]","['#f0d686', '#538ce7', '#570504', '#3b9c7d', '#a44805']"
88,88,88,88,88,"Snails Space with Vari-lites, “Painting as Performance”",1995-96 - mixed media 84 1/4 x264x135 in.,https://www.hockney.com/img/gallery/paintings/80s/96B13-2.jpg,1995,1990s,paintings,,"[[8, 6, 12], [45, 29, 59], [52, 49, 157], [136, 44, 49], [196, 131, 133]]","['#08060c', '#2d1d3b', '#34319d', '#882c31', '#c48385']"
89,89,89,89,89,The Other Side,1990-93 - oil on 2 canvases 72x132 in.,https://www.hockney.com/img/gallery/paintings/80s/93B01.jpg,1990,1990s,paintings,,"[[12, 68, 150], [176, 193, 201], [204, 120, 9], [119, 122, 27], [44, 21, 19]]","['#0c4496', '#b0c1c9', '#cc7809', '#777a1b', '#2c1513']"
90,90,90,90,90,Light And Dark Getting Together,1991 - oil on canvas 10 1/2 x16 1/2 in.,https://www.hockney.com/img/gallery/paintings/80s/91D19.jpg,1991,1990s,paintings,,"[[6, 66, 100], [39, 14, 9], [168, 131, 22], [75, 148, 147], [199, 213, 190]]","['#064264', '#270e09', '#a88316', '#4b9493', '#c7d5be']"
91,91,91,91,91,The Fourth V.N. Painting,1992 - oil on canvas 24x24 in.,https://www.hockney.com/img/gallery/paintings/80s/92A09.jpg,1992,1990s,paintings,,"[[141, 148, 129], [119, 9, 14], [22, 80, 61], [193, 121, 8], [9, 88, 158]]","['#8d9481', '#77090e', '#16503d', '#c17908', '#09589e']"
92,92,92,92,92,The Twenty Fourth  V.N. Painting,1992 - oil on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/80s/92A35.jpg,1992,1990s,paintings,,"[[5, 26, 122], [15, 32, 15], [166, 48, 18], [40, 97, 171], [174, 139, 186]]","['#051a7a', '#0f200f', '#a63012', '#2861ab', '#ae8bba']"
93,93,93,93,93,The Only One With Waves,1997 - oil on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/80s/91D03.jpg,1997,1990s,paintings,,"[[15, 54, 65], [106, 113, 114], [150, 12, 15], [233, 181, 53], [200, 196, 187]]","['#0f3641', '#6a7172', '#960c0f', '#e9b535', '#c8c4bb']"
94,94,94,94,94,What About The Caves,1991 - oil on canvas 36x48 in.,https://www.hockney.com/img/gallery/paintings/80s/91D04.jpg,1991,1990s,paintings,,"[[21, 24, 25], [120, 154, 151], [36, 87, 112], [209, 223, 226], [137, 32, 31]]","['#151819', '#789a97', '#245770', '#d1dfe2', '#89201f']"
95,95,95,95,95,John Fitzherbert,1990 - oil on canvas 36x24 in.,https://www.hockney.com/img/gallery/paintings/80s/90C03.jpg,1990,1990s,paintings,,"[[2, 111, 152], [26, 161, 186], [172, 69, 51], [184, 190, 187], [76, 77, 89]]","['#026f98', '#1aa1ba', '#ac4533', '#b8bebb', '#4c4d59']"
